1	H	ok	0.75420	13.598000	np	np	np	np	np	np	np
2	He	ok	0.00000	24.58700	54.41600	np	np	np	np	np	np
3	Li	ok	0.61805	5.39200	75.63800	122.45100	np	np	np	np	np
4	Be	ok	0.00000	9.32200	18.21100	153.89300	217.71300	np	np	np	np
5	B	ok	0.27972	8.29800	25.15400	37.93000	259.36800	340.21700	np	np	np
6	C	ok	1.26212	11.26000	24.38300	47.88700	64.49200	392.07700	489.98100	np	np
7	N	ok	-0.07000	14.53400	29.60100	47.44800	77.47200	97.88800	552.05700	667.02900	np
8	O	ok	1.46111	13.61800	35.11600	54.93400	77.41200	113.89600	138.11600	739.31500	871.38700
9	F	ok	3.40119	17.42200	34.97000	62.70700	87.13800	114.24000	157.16100	185.18200	953.88600
10	Ne	ok	0.00000	21.56400	40.96200	63.45000	97.11000	126.21000	157.93000	207.27000	239.09000
11	Na	ok	0.54793	5.13900	47.28600	71.64000	98.91000	138.39000	172.15000	208.47000	264.18000
12	Mg	ok	0.00000	7.64600	15.03500	80.14300	109.24000	141.26000	186.50000	224.94000	265.90000
13	Al	ok	0.43283	5.98600	18.82800	28.44700	119.99000	153.71000	190.47000	241.43000	284.59000
14	Si	ok	1.38952	8.15100	16.34500	33.49200	45.14100	166.77000	205.05000	246.52000	303.17000
15	P	ok	0.74650	10.45800	19.72500	30.18000	51.37000	65.02300	220.43000	263.22000	309.41000
16	S	ok	2.07710	10.36000	23.33000	34.83000	47.30000	72.68000	88.04900	280.93000	328.23000
17	Cl	ok	3.61272	12.96700	23.81000	39.61000	53.46000	67.80000	97.03000	114.19300	348.28000
18	Ar	ok	0.00000	15.75900	27.62900	40.74000	59.81000	75.02000	91.00700	124.31900	143.45600
19	K	ok	0.50146	4.34100	31.62500	45.72000	60.91000	82.66000	100.00000	117.56000	154.86000
20	Ca	ok	0.02455	6.11300	11.87100	50.90800	67.10000	84.41000	108.78000	127.70000	147.24000
21	Sc	ok	0.18800	6.54000	12.80000	24.76000	73.47000	91.66000	111.10000	138.00000	158.70000
22	Ti	ok	0.08400	6.82000	13.58000	27.49100	43.26600	99.22000	119.36000	140.80000	168.50000
23	V	ok	0.52500	6.74000	14.65000	29.31000	46.70700	65.23000	128.12000	150.17000	173.70000
